x1	x2	rgb
0.45742659727543605	-1.382304286861087	(0.8801428563124459, 0.5614677297103692, 1.0)
0.4796712799482595	-1.1921182723453072	(0.998130794998681, 0.5343954233659426, 1.0)
0.48544792230153916	-1.200057035379395	(0.998453080823685, 0.5323744336200161, 1.0)
0.5166602364358784	-1.1500419988170631	(1.0, 0.5127595998907947, 1.0)
0.48996236498173656	-1.1963993084051165	(1.0, 0.5299123403390794, 1.0)
0.4890825055950914	-1.2047019192512036	(0.9988148656455434, 0.5310656976880275, 1.0)
0.4976974805631025	-1.2463407447774482	(0.9849795647033185, 0.5307130944146369, 1.0)
0.4935185783843988	-1.1925608243551076	(1.0, 0.5278757778312707, 1.0)
0.4881046549646938	-1.194874043453341	(1.0, 0.5306599466291334, 1.0)
0.49703357044655805	-1.123400012343169	(1.0, 0.5201079006150937, 1.0)
0.5082705739741901	-1.16584442839198	(1.0, 0.5183382691258617, 1.0)
0.4983826564625724	-1.1610240896570563	(1.0, 0.5227424163685133, 1.0)
0.5028161399161325	-1.2351174472328585	(0.994036766870397, 0.5272430956663622, 1.0)
0.4979247931265096	-1.2334720195023086	(0.9913754153828521, 0.5294369831561478, 1.0)
0.4973737358516075	-1.2035847559346036	(1.0, 0.5270103717010108, 1.0)
0.48746646778501035	-1.241094014889697	(0.9802487256975042, 0.5350745796827692, 1.0)
0.4943927927680949	-1.208630568832177	(1.0, 0.5288888417832804, 1.0)
0.5053583850435117	-1.2524548019000217	(0.9874478248456319, 0.5276077896444301, 1.0)
0.4952758550364328	-1.2698432476637598	(0.9715781038716779, 0.5340041915968741, 1.0)
0.5010119116876879	-1.2092433169930197	(1.0, 0.5257679300085017, 1.0)
0.503291903677346	-1.1836116897423787	(1.0, 0.5223630946554125, 1.0)
0.5104976313651345	-1.1935915600042724	(1.0, 0.5197399932793458, 1.0)
0.5127444948579463	-1.187480757396696	(1.0, 0.5180810235791353, 1.0)
0.49290770368662973	-1.1927819521331233	(1.0, 0.5281875484037534, 1.0)
0.5084539340202584	-1.1785786461714955	(1.0, 0.5193891978856527, 1.0)
0.5104501968546185	-1.211345555126544	(1.0, 0.5213760634878473, 1.0)
0.5099472855979595	-1.18189273283706	(1.0, 0.5189536576052615, 1.0)
0.5393252006309889	-1.139889735653724	(1.0, 0.5002747363214454, 1.0)
0.48492716480957004	-1.1839104495518022	(1.0, 0.5312016971967083, 1.0)
0.5074770624943316	-1.2119535634210137	(1.0, 0.52288151126215, 1.0)
0.5133317492798665	-1.196780683907163	(1.0, 0.5186357791277683, 1.0)
0.48670565769666924	-1.1974178284822372	(1.0, 0.5315472511949102, 1.0)
0.4971602290461079	-1.1764763610617546	(1.0, 0.5246996430160376, 1.0)
